,NickName,Sex,Province,City,Signature
0,llXN,2,,,生活哪有什么如果，只有结果。
1,emmm...,2,江苏,无锡,"噜噜噜。很幸福<span class=""emoji emoji1f339""></span>"
2,木木,0,,,
3,Mr Gu📶,1,江苏,无锡,
4,梦姐日本代购直邮,2,Osaka,,朋友圈对我关闭的不加！只做本土正品代购，卖假货死全家
5,王子,1,江苏,无锡,
6,大笨狗,1,江苏,南京,找人玩
7,徐琼,2,江苏,无锡,
8,lazylvy,2,,,
9,遇见,1,安徽,合肥,
10,✨K 孤独患者😘,1,江苏,无锡,想起青春，等无畏无惧无所谓失败！
11,追风,0,,,
12,be quiet,1,江苏,无锡,很hui
13,彼岸尽头,2,江苏,无锡,用微笑来掩饰脆弱！用冷漠来假装坚强！
14,👶他👦,1,江苏,无锡,
15,Chico,1,江苏,南京,春水初生，春林初盛，
16,江阴大闸蟹   📣(免费招代理),1,,,售长江大闸蟹，需要的朋友加我！
17,洛辰,1,江苏,无锡,
18,【哈哈镜】江阴总店🔥,1,江苏,无锡,江浙沪周边招代理电话：13013688563 
19,戒烟产品专卖-电子烟俱乐部,1,上海,松江,电子烟专卖—电子烟俱乐部。吸烟、戒烟抽电子烟请联系哦，VIP价
20,天然卷发的家伙都不是坏人,1,江苏,无锡,same shit different day
21,木木楠ll,0,,,
22,宁缺,1,江苏,南京,
23,魔方骚年多看书,1,安徽,合肥,"where there is life,there is hope and dream!"
24,大堡礁大堡礁,0,,,淘宝店铺是大堡礁Winnie的店铺，有任何问题请和客服联系
25,TheFourthStudio,0,,,
26,明媚,2,,,路远知马力，日久见人心
27,Jane,1,江苏,无锡,
28,Nonstop,1,上海,徐汇,keep real
29,🐻,1,江苏,南京,重点观察对象
30,旗开得胜,1,江苏,无锡,
31,Paradise*,1,辽宁,盘锦,
32,A手机电动车电脑分期甘强详,1,江苏,无锡,开心就好
33,尤✨✨,1,江苏,无锡,
34,雅娟,0,,,
35,咕噜喵,1,江苏,无锡,做梦，就要做大一点
36,华文彬_Bryan,1,江苏,无锡,人生苦短，及时行乐呀。
37,旧城少#,1,Texas,Houston City,"<span class=""emoji emoji270c""></span>🏻"
38,‮‮‮‮‮‮下一你了亲并‭Mr.H,1,San Bernardino,San Bernardino,距百年老店还有97年
39,大大王来也,1,安徽,蚌埠,懦夫从不启程，弱者死于路中，只剩我们前行！
40,安徽米高轮者无双轮滑俱乐部,1,,,"<span class=""emoji emoji2764""></span> 保守我的心，胜过保守一切～因为一生的果效都是由心发出"
41,Erica,2,北京,海淀,温 良 恭 俭 让
42,柯柯柯柯柯,1,上海,闵行,
43,Torankusu,1,EG,,已卸载
44,樱桃上好佳,2,山东,烟台,
45,洋洋😊是个好小伙,1,上海,,嘻嘻
46,佰先生,1,江苏,无锡,去体会，去感悟，去经历，去珍惜
47,柠檬🍋,0,,,
48,玄霄别梦,1,江苏,无锡,STRONG and SMART
49,汪洋,1,江苏,无锡,
50,凡歌儿～,2,辽宁,沈阳,一只神奇的兔子~
51,蓝天,1,江苏,无锡,
52,黄磊,1,江苏,无锡,爱慕如果只凭想象是没办法实现的
53,ZZZv,1,江苏,无锡,一切尽在不在尽言中！
54,品味,1,江苏,无锡,小镇一江烟雨，两人十指勾画…
55,朱家富,1,Dubayy,,
56,郭吉刚,1,上海,浦东新区,2017希望一切顺利，加油！
57,A客服未回复，先查看朋友圈,2,上海,黄浦,
58,Orz,1,江苏,无锡,
59,也许、,1,江苏,无锡,真真正正在
60,斌,1,江苏,无锡,
61,思思,2,安徽,蚌埠,一花一世界，一叶一追寻，一曲一场叹，一生为一人。。。
62,陈翔翔,1,上海,普陀,惟将终夜长开眼，报答平生未展眉
63,无邪,1,江苏,无锡,浮生若梦，为欢几何
64,再也不会有名字了,1,Chiang Mai,,人生一场虚空大梦，韶华白首，不过转瞬。惟有天道恒在，往复循环
65,Leo,1,江苏,无锡,
66,Michelle、莉,2,江苏,无锡,人生是一个不断完善自己的过程，亦是一种无法抗拒的前进。。。
67,Sunshine,1,江苏,无锡,
